POINT_ID,AVGACURATE,LIGHTVEH,AVGSPEED,LONGVEH,REC_TIME,ID,HUGEVEH,MIDVEH,AVGHEADDIST,MINIVEH,AVGFLOW
1001,2.2,668,102.9,695,"28-7月 -18 12.00.00.000000000 上午",10661,457,706,0,6607,9133
1001,1.8,412,95.3,359,"29-7月 -18 12.00.00.000000000 上午",10681,249,420,0,5066,6506
1001,18.7,816,46.4,4025,"30-7月 -18 12.00.00.000000000 上午",10701,1118,897,0,8572,15428
1001,9.1,444,78.9,1564,"31-7月 -18 12.00.00.000000000 上午",10721,432,527,0,4418,7385
1001,1.5,423,89.9,424,"01-8月 -18 12.00.00.000000000 上午",10741,306,526,0,4144,5823
1001,2.7,563,100.9,594,"02-8月 -18 12.00.00.000000000 上午",10761,350,629,0,5394,7530
1001,1.7,622,100.1,506,"03-8月 -18 12.00.00.000000000 上午",10781,431,733,0,6515,8807
1001,1.1,161,107.5,173,"04-8月 -18 12.00.00.000000000 上午",10801,133,204,0,1535,2206
1001,1.8,643,100.2,512,"05-8月 -18 12.00.00.000000000 上午",10821,366,689,0,5688,7898
1001,2.2,927,104.3,928,"06-8月 -18 12.00.00.000000000 上午",10841,646,1071,0,8324,11896
1001,1.8,775,104.8,770,"07-8月 -18 12.00.00.000000000 上午",10861,546,972,0,6808,9871
1001,2.1,759,103.8,735,"08-8月 -18 12.00.00.000000000 上午",10881,570,909,0,7362,10335
1001,1.8,906,107.8,845,"09-8月 -18 12.00.00.000000000 上午",10901,625,1002,0,8114,11492
1001,1.9,754,103.3,669,"10-8月 -18 12.00.00.000000000 上午",10921,556,885,0,6049,8913
1001,1.4,619,105.6,519,"11-8月 -18 12.00.00.000000000 上午",10941,453,695,0,5308,7594
1001,1.1,454,106.8,330,"12-8月 -18 12.00.00.000000000 上午",10961,314,528,0,4246,5872
1001,1.9,826,106,903,"13-8月 -18 12.00.00.000000000 上午",10981,620,1050,0,7581,10980
1001,1.9,822,105,862,"14-8月 -18 12.00.00.000000000 上午",11001,585,1005,0,6871,10145
1001,1.3,622,104,537,"15-8月 -18 12.00.00.000000000 上午",11021,414,752,0,5138,7463
1001,1.8,636,104,672,"16-8月 -18 12.00.00.000000000 上午",11041,512,787,0,5440,8047
1001,1.6,732,106.5,657,"17-8月 -18 12.00.00.000000000 上午",11061,534,858,0,6610,9391
1001,1.5,635,107.4,542,"18-8月 -18 12.00.00.000000000 上午",11081,449,747,0,6005,8378
1001,1.6,441,105.5,375,"19-8月 -18 12.00.00.000000000 上午",11101,351,549,0,4768,6484
1001,1.8,692,105.4,693,"20-8月 -18 12.00.00.000000000 上午",11121,516,852,0,5882,8635
1001,1.8,613,102.2,638,"21-8月 -18 12.00.00.000000000 上午",11141,455,782,0,4839,7327
1001,1.6,641,102.4,586,"22-8月 -18 12.00.00.000000000 上午",11161,450,792,0,5275,7744
1001,1.6,581,101.6,554,"23-8月 -18 12.00.00.000000000 上午",11181,456,758,0,4837,7186
1001,1.4,583,104.5,604,"24-8月 -18 12.00.00.000000000 上午",11201,469,732,0,5179,7567
1001,1.1,450,110.3,441,"25-8月 -18 12.00.00.000000000 上午",11221,410,582,0,4483,6366
1001,1.2,399,107.2,382,"26-8月 -18 12.00.00.000000000 上午",11241,314,498,0,4259,5852
1001,1.5,607,104.7,643,"27-8月 -18 12.00.00.000000000 上午",11261,422,762,0,4226,6660
1001,1.4,688,101.5,450,"28-8月 -18 12.00.00.000000000 上午",11281,336,689,0,4752,6915
1001,3.4,945,96,866,"29-8月 -18 12.00.00.000000000 上午",11301,551,970,0,7719,11051
1001,3.8,711,89.8,421,"30-8月 -18 12.00.00.000000000 上午",11321,372,703,0,5849,8056
1001,3.2,842,98.1,691,"31-8月 -18 12.00.00.000000000 上午",11322,498,859,0,5983,8873
1001,1.5,694,102.3,463,"01-9月 -18 12.00.00.000000000 上午",11323,417,736,0,5525,7835
1001,1.1,409,105,381,"02-9月 -18 12.00.00.000000000 上午",11341,285,500,0,3181,4756
1001,2.9,692,101.2,811,"03-9月 -18 12.00.00.000000000 上午",11361,514,810,0,4535,7362
1001,1.9,602,100.6,732,"04-9月 -18 12.00.00.000000000 上午",11381,484,769,0,4292,6879
1001,1.6,635,105.7,757,"05-9月 -18 12.00.00.000000000 上午",11401,478,783,0,4725,7378
1001,2,751,103.4,833,"06-9月 -18 12.00.00.000000000 上午",11421,554,872,0,5401,8411
1001,1.9,634,101.8,789,"07-9月 -18 12.00.00.000000000 上午",11441,538,872,0,4545,7378
1001,1.9,621,101.1,586,"08-9月 -18 12.00.00.000000000 上午",11461,437,738,0,5238,7620
1001,1.3,449,105.7,448,"09-9月 -18 12.00.00.000000000 上午",11481,339,600,0,3919,5755
1001,2.8,762,102,1095,"10-9月 -18 12.00.00.000000000 上午",11501,630,953,0,5387,8827
1001,2,703,104.2,865,"11-9月 -18 12.00.00.000000000 上午",11521,543,855,0,5100,8066
1001,1.8,645,106,880,"12-9月 -18 12.00.00.000000000 上午",11541,526,778,0,5283,8112
1001,2.6,639,103.6,748,"13-9月 -18 12.00.00.000000000 上午",11561,447,744,0,4799,7377
1001,1.8,406,106.4,503,"14-9月 -18 12.00.00.000000000 上午",11581,322,473,0,3332,5036
1001,1.9,339,106.8,319,"17-9月 -18 12.00.00.000000000 上午",11601,251,397,0,2814,4120
1001,2.9,726,100.6,995,"18-9月 -18 12.00.00.000000000 上午",11621,521,909,0,5126,8277
1001,2.2,697,100.9,947,"19-9月 -18 12.00.00.000000000 上午",11641,592,840,0,4883,7959
1001,2.4,726,103.9,986,"20-9月 -18 12.00.00.000000000 上午",11661,571,855,0,5021,8159
1001,2.9,720,101.4,1014,"21-9月 -18 12.00.00.000000000 上午",11681,548,795,0,4936,8013
1001,1.5,538,109.8,686,"22-9月 -18 12.00.00.000000000 上午",11701,472,687,0,4546,6929
1001,1.2,408,111.5,520,"23-9月 -18 12.00.00.000000000 上午",11721,365,508,0,4044,5845
1001,0.9,244,111.3,321,"24-9月 -18 12.00.00.000000000 上午",11741,214,313,0,2453,3545
1001,1.9,620,105.3,789,"25-9月 -18 12.00.00.000000000 上午",11761,513,802,0,4225,6949
1001,1.8,622,104.1,771,"26-9月 -18 12.00.00.000000000 上午",11781,518,737,0,4536,7184
1001,2.1,698,101.7,776,"27-9月 -18 12.00.00.000000000 上午",11801,552,839,0,4952,7817
1001,2,615,101.7,867,"28-9月 -18 12.00.00.000000000 上午",11821,556,807,0,4854,7699
1001,1.8,450,97.7,531,"29-9月 -18 12.00.00.000000000 上午",11841,409,584,0,3021,4995
1001,1.8,510,101.2,594,"30-9月 -18 12.00.00.000000000 上午",11861,465,631,0,4484,6684
1001,1.2,245,104.3,358,"01-10月-18 12.00.00.000000000 上午",11881,234,307,0,3524,4668
1001,1,190,96.5,284,"02-10月-18 12.00.00.000000000 上午",11901,226,262,0,2604,3566
1001,2.1,202,99,286,"03-10月-18 12.00.00.000000000 上午",11921,226,314,0,2838,3866
1001,10.1,1112,56.1,2960,"04-10月-18 12.00.00.000000000 上午",11941,1157,1174,0,8696,15099
1001,11.3,685,53.4,2349,"05-10月-18 12.00.00.000000000 上午",11961,1341,767,0,5378,10520
1001,21.2,1422,51,5876,"06-10月-18 12.00.00.000000000 上午",11981,1542,1522,0,10489,20851
1001,21,1274,47.1,4924,"07-10月-18 12.00.00.000000000 上午",12001,1184,1386,0,8647,17415
1001,2.5,17,32.8,86,"08-10月-18 12.00.00.000000000 上午",12021,14,33,0,94,244
1001,14.2,1048,25.3,3342,"09-10月-18 12.00.00.000000000 上午",12041,1513,1152,0,9022,16077
1001,13.6,828,47.5,2839,"10-10月-18 12.00.00.000000000 上午",12061,843,1024,0,6966,12500
1001,6.8,909,71.8,1632,"11-10月-18 12.00.00.000000000 上午",12081,1046,1008,0,6195,10790
1001,8.7,689,46.5,1726,"12-10月-18 12.00.00.000000000 上午",12101,909,711,0,5469,9504
1001,8.3,453,66.8,1596,"13-10月-18 12.00.00.000000000 上午",12121,444,584,0,3545,6622
1001,12.2,1282,60.9,3345,"14-10月-18 12.00.00.000000000 上午",12141,1514,1520,0,8814,16475
1001,1.8,331,81,339,"15-10月-18 12.00.00.000000000 上午",12161,232,386,0,2214,3502
1001,2.4,562,74.7,762,"16-10月-18 12.00.00.000000000 上午",12181,456,693,0,3838,6311
1001,1.9,669,101.3,728,"17-10月-18 12.00.00.000000000 上午",12201,480,751,0,4076,6704
1001,3.3,411,87.5,446,"18-10月-18 12.00.00.000000000 上午",12221,329,402,0,2437,4025
1001,1,341,74.8,268,"19-10月-18 12.00.00.000000000 上午",12241,260,406,0,2504,3779
1001,0.5,19,46.3,20,"20-10月-18 12.00.00.000000000 上午",12261,19,37,0,149,244
1001,0.3,15,51.3,23,"21-10月-18 12.00.00.000000000 上午",12281,9,16,0,112,175
1001,2.2,287,82,309,"22-10月-18 12.00.00.000000000 上午",12301,236,401,0,2586,3819
1001,2.4,693,96,943,"23-10月-18 12.00.00.000000000 上午",12321,556,922,0,5196,8310
1001,4.5,544,73.8,1204,"24-10月-18 12.00.00.000000000 上午",12341,479,596,0,3617,6440
1001,10.4,788,60.3,2869,"25-10月-18 12.00.00.000000000 上午",12361,638,898,0,6434,11627
1001,12.7,1409,65.2,4049,"26-10月-18 12.00.00.000000000 上午",12381,1398,1590,0,10703,19149
1001,13.2,1129,60.6,3614,"27-10月-18 12.00.00.000000000 上午",12401,1188,1221,0,10234,17386
1001,8,148,60.1,687,"28-10月-18 12.00.00.000000000 上午",12421,156,209,0,1369,2569
1001,9.4,177,55.4,713,"29-10月-18 12.00.00.000000000 上午",12441,216,180,0,2491,3777
1001,3,412,85.9,673,"30-10月-18 12.00.00.000000000 上午",12461,328,577,0,2875,4865
1001,3.1,185,82,320,"31-10月-18 12.00.00.000000000 上午",12481,195,224,0,2399,3323
1001,5.2,523,76.9,1575,"01-11月-18 12.00.00.000000000 上午",12501,408,530,0,5140,8176
1001,0.8,17,79.9,27,"02-11月-18 12.00.00.000000000 上午",12521,24,36,0,1063,1167
1001,0.7,90,83.1,64,"03-11月-18 12.00.00.000000000 上午",12541,92,113,0,1569,1928
1001,7.9,641,73.7,2359,"04-11月-18 12.00.00.000000000 上午",12561,680,861,0,5714,10255
1001,18.3,1576,50.3,5044,"05-11月-18 12.00.00.000000000 上午",12581,2048,1914,0,11532,22114
1001,2.6,363,86.7,557,"06-11月-18 12.00.00.000000000 上午",12601,343,460,0,3056,4779
1001,1.5,383,87.1,334,"07-11月-18 12.00.00.000000000 上午",12621,306,474,0,2908,4405
1001,0.8,215,82.2,159,"08-11月-18 12.00.00.000000000 上午",12641,139,285,0,1411,2209
1001,1.1,214,82,203,"09-11月-18 12.00.00.000000000 上午",12661,145,219,0,1744,2525
1001,1.1,268,87.2,251,"10-11月-18 12.00.00.000000000 上午",12681,207,392,0,2241,3359
1001,4.7,297,72.8,922,"11-11月-18 12.00.00.000000000 上午",12701,283,408,0,3266,5176
1001,2.1,306,85.9,365,"12-11月-18 12.00.00.000000000 上午",12721,271,429,0,2163,3534
1001,1.7,214,85.6,265,"13-11月-18 12.00.00.000000000 上午",12741,166,311,0,1892,2848
1001,2.4,342,84.2,534,"14-11月-18 12.00.00.000000000 上午",12761,348,526,0,3824,5574
1001,1,155,80.2,221,"15-11月-18 12.00.00.000000000 上午",12781,131,210,0,1147,1864
1001,1.2,353,83.1,370,"16-11月-18 12.00.00.000000000 上午",12801,257,441,0,2670,4091
1001,0.3,0,79.1,0,"17-11月-18 12.00.00.000000000 上午",12821,0,0,0,1083,1083
1001,1.7,173,87.1,257,"18-11月-18 12.00.00.000000000 上午",12841,174,220,0,2279,3103
1001,1.2,70,81.9,105,"19-11月-18 12.00.00.000000000 上午",12861,68,96,0,1076,1415
1001,5.8,320,69.5,875,"20-11月-18 12.00.00.000000000 上午",12881,334,346,0,3529,5404
1001,2.6,313,85.3,272,"21-11月-18 12.00.00.000000000 上午",12901,199,363,0,2281,3428
1001,2.5,47,76.9,116,"22-11月-18 12.00.00.000000000 上午",12921,37,52,0,2596,2848
1001,1.6,90,78.2,55,"23-11月-18 12.00.00.000000000 上午",12941,19,101,0,939,1204
1001,3.6,346,84.2,515,"24-11月-18 12.00.00.000000000 上午",12961,266,467,0,3416,5010
1001,0.7,116,86.3,91,"25-11月-18 12.00.00.000000000 上午",12981,106,173,0,2103,2589
1001,3.3,740,95.2,963,"26-11月-18 12.00.00.000000000 上午",13001,509,884,0,4447,7543
1001,3.1,812,99.1,996,"27-11月-18 12.00.00.000000000 上午",13021,565,1031,0,5287,8691
1001,2.2,752,99.5,751,"28-11月-18 12.00.00.000000000 上午",13041,549,881,0,4602,7535
1001,2,468,93.9,684,"29-11月-18 12.00.00.000000000 上午",13061,389,657,0,3291,5489
1001,6.1,308,71.6,1100,"30-11月-18 12.00.00.000000000 上午",13081,264,342,0,2955,4969
1001,1.6,347,89.8,412,"01-12月-18 12.00.00.000000000 上午",13101,280,492,0,3314,4845
1001,3,326,85.7,419,"02-12月-18 12.00.00.000000000 上午",13121,256,428,0,2742,4171
1001,3.1,544,90.9,725,"03-12月-18 12.00.00.000000000 上午",13141,411,720,0,3498,5898
1001,3.4,549,85.8,756,"04-12月-18 12.00.00.000000000 上午",13161,466,796,0,3518,6085
1001,2.2,765,99.7,796,"05-12月-18 12.00.00.000000000 上午",13181,562,1039,0,4478,7640
1001,3.6,800,98.3,1025,"06-12月-18 12.00.00.000000000 上午",13201,600,997,0,4932,8354
1001,10.5,593,70.9,1979,"07-12月-18 12.00.00.000000000 上午",13221,612,601,0,5536,9321
1001,15.9,2193,64.2,6590,"08-12月-18 12.00.00.000000000 上午",13241,2446,2658,0,17621,31508
1001,18.1,1874,55.6,5873,"09-12月-18 12.00.00.000000000 上午",13261,2590,2316,0,15667,28320
1001,20.6,2042,51,6223,"10-12月-18 12.00.00.000000000 上午",13281,2370,2331,0,18297,31263
1001,21.4,2784,52,8367,"11-12月-18 12.00.00.000000000 上午",13301,2678,2890,0,21567,38286
1001,22,2319,49.1,7726,"12-12月-18 12.00.00.000000000 上午",13321,2555,2814,0,22363,37777
1001,22.4,2183,48.4,8038,"13-12月-18 12.00.00.000000000 上午",13341,2417,2576,0,19998,35212
1001,22.8,1701,44.8,6733,"14-12月-18 12.00.00.000000000 上午",13361,2174,2248,0,15809,28665
1001,22.5,1436,39.5,5620,"15-12月-18 12.00.00.000000000 上午",13381,2457,1879,0,13030,24422
1001,21.5,1720,44.5,6049,"16-12月-18 12.00.00.000000000 上午",13401,2530,2224,0,15846,28369
1001,20.4,2145,49.4,6745,"17-12月-18 12.00.00.000000000 上午",13421,2559,2462,0,20388,34299
1001,25.4,1572,46.2,7332,"18-12月-18 12.00.00.000000000 上午",13441,2227,2011,0,11372,24514
1001,22.6,1427,47.1,6015,"19-12月-18 12.00.00.000000000 上午",13461,1626,1762,0,11878,22708
1001,13.4,1098,62.7,3470,"20-12月-18 12.00.00.000000000 上午",13481,1165,1385,0,8864,15982
1001,5,756,84.5,1142,"21-12月-18 12.00.00.000000000 上午",13501,469,918,0,5840,9125
1001,2,355,88.9,424,"22-12月-18 12.00.00.000000000 上午",13521,280,451,0,3984,5494
1001,2.2,721,102.7,741,"23-12月-18 12.00.00.000000000 上午",13541,459,846,0,6317,9084
1001,4.1,620,92.4,959,"24-12月-18 12.00.00.000000000 上午",13561,534,791,0,5162,8066
1001,21,403,38,1702,"25-12月-18 12.00.00.000000000 上午",13581,1751,576,0,5323,9755
1001,15.6,323,57,1615,"26-12月-18 12.00.00.000000000 上午",13601,376,395,0,4037,6746
1001,0.5,5,81.2,6,"27-12月-18 12.00.00.000000000 上午",13621,39,11,0,1745,1806
1001,5,136,77.4,520,"28-12月-18 12.00.00.000000000 上午",13641,381,148,0,2949,4134
1001,1.7,46,40.5,26,"29-12月-18 12.00.00.000000000 上午",13661,38,43,0,252,405
1001,0,0,0,0,"30-12月-18 12.00.00.000000000 上午",13681,0,0,0,0,0
1001,0.9,499,54,365,"31-12月-18 12.00.00.000000000 上午",13701,303,551,0,4777,6495
1001,1.3,392,110.8,375,"01-1月 -19 12.00.00.000000000 上午",13721,337,484,0,4985,6573
1001,2.4,985,103.2,1063,"02-1月 -19 12.00.00.000000000 上午",13741,780,1323,0,7365,11516
1001,2.1,1010,102,894,"03-1月 -19 12.00.00.000000000 上午",13761,661,1224,0,6879,10668
1001,3.4,900,95.5,1186,"04-1月 -19 12.00.00.000000000 上午",13781,698,1107,0,5904,9795
1001,1.8,269,87.3,401,"05-1月 -19 12.00.00.000000000 上午",13801,262,349,0,2035,3316
1001,1.6,565,95.9,559,"06-1月 -19 12.00.00.000000000 上午",13821,451,709,0,5968,8252
1001,3.2,897,100.1,1179,"07-1月 -19 12.00.00.000000000 上午",13841,658,1129,0,6456,10319
1001,2.6,1066,104.4,1173,"08-1月 -19 12.00.00.000000000 上午",13861,765,1285,0,8023,12312
1001,4.3,679,92.2,778,"09-1月 -19 12.00.00.000000000 上午",13881,438,776,0,5115,7786
1001,2.1,134,78.4,117,"10-1月 -19 12.00.00.000000000 上午",13901,131,173,0,942,1497
1001,1.2,178,82.9,220,"11-1月 -19 12.00.00.000000000 上午",13921,135,254,0,2274,3061
1001,2.2,348,88.3,320,"12-1月 -19 12.00.00.000000000 上午",13941,259,492,0,2557,3976
1001,0.3,1,79.7,0,"13-1月 -19 12.00.00.000000000 上午",13961,0,5,0,1467,1473
1001,1.4,163,83.4,169,"14-1月 -19 12.00.00.000000000 上午",13981,114,217,0,3798,4461
1001,0.8,1,86.9,12,"15-1月 -19 12.00.00.000000000 上午",14001,15,23,0,7785,7836
1001,0.7,2,85,11,"16-1月 -19 12.00.00.000000000 上午",14021,14,19,0,5339,5385
1001,1.6,60,83.3,161,"17-1月 -19 12.00.00.000000000 上午",14041,66,88,0,4158,4533
1001,2.3,608,93.6,642,"18-1月 -19 12.00.00.000000000 上午",14061,406,784,0,5912,8352
1001,8.4,231,58.1,1310,"19-1月 -19 12.00.00.000000000 上午",14081,389,289,0,4206,6425
1001,0.3,0,69.3,0,"20-1月 -19 12.00.00.000000000 上午",14101,0,0,0,1096,1096
1001,3.6,211,74.1,695,"21-1月 -19 12.00.00.000000000 上午",14121,240,246,0,4617,6009
1001,4,679,87.9,865,"22-1月 -19 12.00.00.000000000 上午",14141,459,834,0,6328,9165
1001,14,453,64.3,1973,"23-1月 -19 12.00.00.000000000 上午",14161,450,521,0,4335,7732
1001,3.1,318,82.5,519,"24-1月 -19 12.00.00.000000000 上午",14181,224,337,0,2792,4190
1001,5.3,116,62.2,612,"25-1月 -19 12.00.00.000000000 上午",14201,144,170,0,1975,3017
1001,2.3,172,71.6,286,"26-1月 -19 12.00.00.000000000 上午",14221,159,234,0,2898,3749
1001,2.6,262,88.2,414,"27-1月 -19 12.00.00.000000000 上午",14241,153,267,0,3744,4840
1001,3.1,297,90,545,"28-1月 -19 12.00.00.000000000 上午",14261,249,346,0,3307,4744
1001,3,310,85.2,318,"29-1月 -19 12.00.00.000000000 上午",14281,201,345,0,3546,4720
1001,3,219,72.4,495,"30-1月 -19 12.00.00.000000000 上午",14301,169,228,0,2245,3356
1001,2.9,118,80.2,179,"31-1月 -19 12.00.00.000000000 上午",14321,88,135,0,1108,1628
1001,1.3,46,34.6,75,"01-2月 -19 12.00.00.000000000 上午",14341,43,98,0,287,549
1001,1,147,51.1,161,"02-2月 -19 12.00.00.000000000 上午",14361,143,161,0,1650,2262
1001,3.4,202,88.9,365,"03-2月 -19 12.00.00.000000000 上午",14381,110,188,0,2173,3038
1001,3.1,61,86.4,175,"04-2月 -19 12.00.00.000000000 上午",14401,59,93,0,1523,1911
1001,1.5,45,65.4,103,"05-2月 -19 12.00.00.000000000 上午",14421,36,65,0,750,999
1001,3.6,56,67.5,189,"06-2月 -19 12.00.00.000000000 上午",14441,75,75,0,822,1217
1001,3.1,61,51.6,223,"07-2月 -19 12.00.00.000000000 上午",14461,78,87,0,706,1155
1001,8.3,425,67.3,1591,"08-2月 -19 12.00.00.000000000 上午",14481,586,502,0,4183,7287
1001,5.1,100,74.3,474,"09-2月 -19 12.00.00.000000000 上午",14501,142,124,0,1573,2413
1001,9.4,210,60.9,1091,"10-2月 -19 12.00.00.000000000 上午",14521,338,260,0,3732,5631
1001,19.7,1129,50.2,5509,"11-2月 -19 12.00.00.000000000 上午",14541,1363,1206,0,10712,19919
1001,18.7,825,54.4,4743,"12-2月 -19 12.00.00.000000000 上午",14561,908,1028,0,7694,15198
1001,11.7,586,61.9,2389,"13-2月 -19 12.00.00.000000000 上午",14581,708,751,0,5660,10094
1001,2.7,121,65.4,177,"14-2月 -19 12.00.00.000000000 上午",14601,121,168,0,1141,1728
1001,1.4,214,83.8,172,"15-2月 -19 12.00.00.000000000 上午",14621,140,295,0,1319,2140
1001,0.6,89,67.7,101,"16-2月 -19 12.00.00.000000000 上午",14641,86,145,0,1069,1490
1001,0.8,96,84.4,112,"17-2月 -19 12.00.00.000000000 上午",14661,74,138,0,1634,2054
1001,1.1,127,85.6,118,"18-2月 -19 12.00.00.000000000 上午",14681,112,214,0,1680,2251
1001,1.9,267,87.9,319,"19-2月 -19 12.00.00.000000000 上午",14701,214,350,0,1385,2535
1001,2.2,32,41.5,128,"20-2月 -19 12.00.00.000000000 上午",14721,32,55,0,347,594
1001,0.5,18,36.5,6,"21-2月 -19 12.00.00.000000000 上午",14741,8,14,0,315,361
1001,1.2,145,81.5,122,"22-2月 -19 12.00.00.000000000 上午",14761,84,179,0,1055,1585
1001,1.1,150,77.6,124,"23-2月 -19 12.00.00.000000000 上午",14781,110,214,0,916,1514
1001,1.9,383,91.6,387,"24-2月 -19 12.00.00.000000000 上午",14801,272,467,0,2545,4054
1001,0.4,7,81,3,"25-2月 -19 12.00.00.000000000 上午",14821,13,2,0,1956,1981
1001,1.4,294,86.8,275,"26-2月 -19 12.00.00.000000000 上午",14841,233,394,0,1960,3156
1001,2.8,359,85.4,389,"27-2月 -19 12.00.00.000000000 上午",14861,294,525,0,1431,2998
1001,2.3,323,78.3,254,"28-2月 -19 12.00.00.000000000 上午",14881,173,462,0,1511,2723
1001,1.7,78,43.6,108,"01-3月 -19 12.00.00.000000000 上午",14901,76,158,0,448,868
1001,1.3,235,81.2,180,"02-3月 -19 12.00.00.000000000 上午",14921,158,348,0,1040,1961
1001,14.7,854,58.1,3763,"03-3月 -19 12.00.00.000000000 上午",14941,1143,1144,0,5361,12265
1001,1.5,296,82.2,218,"04-3月 -19 12.00.00.000000000 上午",14961,220,351,0,1191,2276
1001,14.6,1085,49.3,3115,"05-3月 -19 12.00.00.000000000 上午",14981,1758,1322,0,7433,14713
1001,8.6,486,63.9,1572,"06-3月 -19 12.00.00.000000000 上午",15001,512,542,0,3118,6230
1001,1.5,25,68,26,"07-3月 -19 12.00.00.000000000 上午",15021,17,28,0,176,272
1001,0.4,19,65.2,12,"08-3月 -19 12.00.00.000000000 上午",15041,10,29,0,106,176
1001,0.2,2,31.3,0,"09-3月 -19 12.00.00.000000000 上午",15061,1,6,0,13,22
1001,0.1,2,14.5,1,"10-3月 -19 12.00.00.000000000 上午",15081,0,3,0,6,12
1001,3.9,39,40.4,135,"11-3月 -19 12.00.00.000000000 上午",15101,43,74,0,337,628
1001,6.1,94,56.1,224,"12-3月 -19 12.00.00.000000000 上午",15121,86,145,0,442,991
1001,2.2,363,83.6,369,"13-3月 -19 12.00.00.000000000 上午",15141,316,516,0,1408,2972
1001,1,16,67.4,17,"14-3月 -19 12.00.00.000000000 上午",15161,27,15,0,297,372
1001,2.3,439,89.2,515,"15-3月 -19 12.00.00.000000000 上午",15181,425,690,0,1918,3987
1001,1.6,229,86.3,294,"16-3月 -19 12.00.00.000000000 上午",15201,209,376,0,1045,2153
1001,1.9,317,79.5,313,"17-3月 -19 12.00.00.000000000 上午",15221,237,481,0,1561,2909
1001,2.9,388,83.5,406,"18-3月 -19 12.00.00.000000000 上午",15241,220,518,0,1519,3051
1001,1.1,161,66.3,138,"19-3月 -19 12.00.00.000000000 上午",15261,137,204,0,637,1277
